交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
4月7日,16.05,16.1,15.45,15.6,-0.25,-1.58,4.1,"25,023","8,139",3.1,3.9,"-4,063",0,-537,"-4,600",27.4,-231,"22,199",-3,0,0
4月6日,16,16,15.6,15.85,0.2,1.28,2.56,"15,411","5,257",2.9,2.4,"3,142",0,-596,"2,546",27.6,"-1,090","22,430",-468,3,0.01
4月1日,15.75,16.1,15.6,15.65,0.05,0.32,3.21,"26,206","8,867",3,4.1,"-4,764",2,341,"-4,421",27.6,505,"23,520",-367,471,2
3月31日,16.2,16.4,15.6,15.6,-0.6,-3.7,4.94,"40,059","13,120",3.1,6.4,"-9,296",0,-91,"-9,387",27.8,"1,690","23,015",-212,838,3.6
3月30日,14.7,16.2,14.65,16.2,1.45,9.83,10.5,"56,186","16,611",3.4,8.9,"12,145",0,644,"12,789",28.1,"1,919","21,325",507,"1,050",4.9
3月27日,15.55,15.7,14.75,14.75,-0.2,-1.34,6.35,"32,016","10,332",3.1,4.9,"-6,421",0,534,"-5,887",27.8,-31,"19,406",-33,543,2.8
3月26日,14.3,15.2,14.05,14.95,1.1,7.94,8.3,"33,164","10,509",3.2,4.9,"2,790",9,955,"3,753",28,"2,219","19,437",90,576,3
3月25日,13.75,14,13.75,13.85,0.3,2.21,1.85,"14,176","4,856",2.9,2,"1,200",0,24,"1,224",28,-259,"17,218",-106,486,2.8
3月24日,13.7,13.95,13.55,13.55,0.05,0.37,2.96,"14,460","4,410",3.3,2,"1,392",0,-30,"1,362",27.9,608,"17,477",-28,592,3.4
3月23日,13.2,13.5,13,13.5,-0.4,-2.88,3.6,"10,675","3,366",3.2,1.4,"-4,444",-20,-99,"-4,563",27.9,66,"16,869",-95,620,3.7
3月20日,13.4,13.95,13.4,13.9,0.65,4.91,4.15,"24,583","6,201",4,3.4,"-4,013","1,888",527,"-1,598",28,28,"16,803",36,715,4.3
3月19日,13.3,13.65,12.8,13.25,-0.25,-1.85,6.3,"28,736","7,318",3.9,3.8,"1,403",0,-646,757,28.1,-655,"16,775",-53,679,4
3月18日,13.5,13.65,13.4,13.5,0.05,0.37,1.86,"16,569","5,067",3.3,2.2,"1,119",4,-613,510,28.1,-766,"17,430",-173,732,4.2
3月17日,13.05,13.8,13,13.45,-0.05,-0.37,5.93,"21,863","5,880",3.7,2.9,590,13,308,911,28.1,"-1,316","18,196",232,905,5
3月16日,13.9,14.1,13.25,13.5,-0.3,-2.17,6.16,"17,254","5,331",3.2,2.3,"-4,347",-3,-371,"-4,721",28,-969,"19,512",278,673,3.4
3月13日,13.2,14.15,12.95,13.8,-0.55,-3.83,8.36,"33,563","9,368",3.6,4.4,-580,10,-475,"-1,045",28.2,"-1,293","20,481",-3,395,1.9
3月12日,15,15,14.1,14.35,-0.85,-5.59,5.92,"21,271","6,395",3.3,3.1,"1,180",8,23,"1,211",28.2,"-1,798","21,774",-52,398,1.8
3月11日,15.65,15.75,15.15,15.2,-0.45,-2.88,3.83,"8,310","3,650",2.3,1.3,"-3,873",0,-609,"-4,482",28.1,226,"23,572",68,450,1.9
3月10日,15.2,15.75,15.2,15.65,0.1,0.64,3.54,"12,215","3,574",3.4,1.9,"4,701",0,231,"4,932",28.2,"-1,166","23,346",-159,382,1.6
3月9日,15.95,16,15.5,15.55,-0.65,-4.01,3.09,"16,003","5,945",2.7,2.5,"-3,619",49,-297,"-3,867",28,-723,"24,512",-97,541,2.2
