交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
4月7日,199.5,201,194,196,-1,-0.51,3.55,"2,664","1,814",1.5,5.2,-599,0,-5,-604,59.4,42,678,0,0,0
4月6日,198.5,198.5,192.5,197,-1,-0.51,3.03,"2,826","2,165",1.3,5.5,"-1,084",2,18,"-1,064",59.5,35,636,0,0,0
4月1日,202,202.5,198,198,-6.5,-3.18,2.2,"3,115","2,203",1.4,6.2,"-1,439",1,27,"-1,411",59.6,13,601,-34,0,0
3月31日,195.5,204.5,193,204.5,11.5,5.96,5.96,"3,863","2,293",1.7,7.7,563,0,-28,535,60,10,588,19,34,5.8
3月30日,191.5,194.5,189,193,1,0.52,2.86,"2,619","2,096",1.2,5,15,-8,10,17,59.9,84,578,-3,15,2.6
3月27日,190.5,195,188,192,6,3.23,3.76,"3,925","2,666",1.5,7.5,582,1,-449,134,59.9,15,494,0,18,3.6
3月26日,183,188,182,186,6,3.33,3.33,"3,133","2,353",1.3,5.8,305,2,-32,275,59.8,-75,479,4,18,3.8
3月25日,181,184,180,180,2,1.12,2.25,"4,179","2,664",1.6,7.6,"-1,230",14,-39,"-1,255",59.8,57,554,-4,14,2.5
3月24日,175,181,173,178,7.5,4.4,4.69,"3,236","2,171",1.5,5.8,-274,-12,-33,-319,60.1,-10,497,-2,18,3.6
3月23日,170,175.5,167,170.5,-4.5,-2.57,4.86,"2,624","1,771",1.5,4.5,-754,-1,141,-614,60.1,-84,507,-1,20,3.9
3月20日,173.5,179,173,175,2,1.16,3.47,"6,218","3,803",1.6,10.9,"-3,067",33,71,"-2,963",60.2,156,591,-12,21,3.6
3月19日,176,180,172,173,-13,-6.99,4.3,"4,848","3,435",1.4,8.5,"-2,181",103,327,"-1,751",60.5,-48,435,5,33,7.6
3月18日,185,187,183,186,1,0.54,2.16,"3,355","2,380",1.4,6.2,"-1,270",3,151,"-1,116",60.8,-15,483,15,28,5.8
3月17日,182,187,181.5,185,0,0,2.97,"4,169","2,691",1.5,7.7,"-1,509",425,249,-835,60.9,20,498,-6,13,2.6
3月16日,184.5,191,182.5,185,-5,-2.63,4.47,"3,407","2,575",1.3,6.4,"-1,310",408,215,-687,61.1,-21,478,6,19,4
3月13日,188,193,182,190,-7,-3.55,5.58,"5,474","3,802",1.4,10.2,"-2,491",2,445,"-2,044",61.3,-20,499,-6,13,2.6
3月12日,197,198,193,197,-0.5,-0.25,2.53,"3,717","2,874",1.3,7.3,"-1,330",15,403,-912,61.6,-40,519,2,19,3.7
3月11日,199,200,197,197.5,-2.5,-1.25,1.5,"2,898","2,113",1.4,5.7,"-2,062",0,22,"-2,040",61.9,17,559,1,17,3
3月10日,197.5,202,196.5,200,0.5,0.25,2.76,"3,393","2,201",1.5,6.8,"-1,450",0,195,"-1,255",62.2,-2,542,1,16,3
3月9日,200,201,198,199.5,-2.5,-1.24,1.49,"2,922","2,071",1.4,5.8,"-1,223",12,288,-923,62.3,-118,544,1,15,2.8
3月6日,203,204,201,202,-1,-0.49,1.48,"1,805","1,384",1.3,3.6,"-1,072",2,43,"-1,027",62.5,31,662,0,14,2.1
3月5日,205,206.5,203,203,-1,-0.49,1.72,"1,614","1,149",1.4,3.3,-728,0,14,-714,62.6,58,631,0,14,2.2
3月4日,202,207,202,204,1,0.49,2.46,"1,550","1,113",1.4,3.2,-254,14,57,-183,62.7,8,573,-1,14,2.4
