type,oc_dt,oc_p1
案類,發生日期,發生地點
住宅竊盜,1050701,桃園市八德區
住宅竊盜,1050701,桃園市中壢區
住宅竊盜,1050701,新北市新莊區
住宅竊盜,1050701,新北市板橋區
住宅竊盜,1050701,新竹縣寶山鄉
住宅竊盜,1050701,新北市板橋區
住宅竊盜,1050701,花蓮縣花蓮市
住宅竊盜,1050701,台北市士林區
住宅竊盜,1050701,台北市信義區
住宅竊盜,1050701,宜蘭縣三星鄉
住宅竊盜,1050701,台北市萬華區
住宅竊盜,1050702,新北市樹林區
住宅竊盜,1050702,南投縣埔里鎮
住宅竊盜,1050702,台北市內湖區
住宅竊盜,1050702,新北市瑞芳區
住宅竊盜,1050702,桃園市平鎮區
住宅竊盜,1050702,台北市大同區
住宅竊盜,1050702,新竹市東區
住宅竊盜,1050702,新北市三重區
住宅竊盜,1050702,台中市北屯區
住宅竊盜,1050702,宜蘭縣三星鄉
住宅竊盜,1050702,新北市中和區
住宅竊盜,1050703,台北市大同區
住宅竊盜,1050703,新竹縣竹東鎮
住宅竊盜,1050703,花蓮縣吉安鄉
住宅竊盜,1050703,苗栗縣後龍鎮
住宅竊盜,1050703,台南市後壁區
住宅竊盜,1050703,花蓮縣花蓮市
住宅竊盜,1050704,高雄市鳳山區
住宅竊盜,1050704,新北市板橋區
住宅竊盜,1050704,南投縣埔里鎮
住宅竊盜,1050704,台北市中正區
住宅竊盜,1050704,台南市歸仁區
住宅竊盜,1050704,台北市信義區
住宅竊盜,1050704,基隆市中正區
住宅竊盜,1050704,雲林縣莿桐鄉
住宅竊盜,1050705,台北市士林區
住宅竊盜,1050705,台北市北投區
住宅竊盜,1050705,台南市西港區
住宅竊盜,1050705,宜蘭縣冬山鄉
住宅竊盜,1050705,雲林縣大埤鄉
住宅竊盜,1050705,金門縣金城鎮
住宅竊盜,1050705,台北市北投區
住宅竊盜,1050705,高雄市鳳山區
住宅竊盜,1050705,台南市官田區
住宅竊盜,1050705,台南市歸仁區
住宅竊盜,1050705,台北市內湖區
住宅竊盜,1050705,台北市中山區
住宅竊盜,1050705,台中市潭子區
住宅竊盜,1050706,嘉義市東區
住宅竊盜,1050706,嘉義縣番路鄉
住宅竊盜,1050706,新北市三重區
住宅竊盜,1050706,雲林縣斗六市
住宅竊盜,1050706,台北市中山區
住宅竊盜,1050706,台北市中山區
住宅竊盜,1050706,高雄市左營區
住宅竊盜,1050706,雲林縣元長鄉
住宅竊盜,1050706,高雄市大樹區
住宅竊盜,1050706,雲林縣虎尾鎮
住宅竊盜,1050706,高雄市旗山區
住宅竊盜,1050706,台北市士林區
住宅竊盜,1050707,雲林縣土庫鎮
住宅竊盜,1050707,雲林縣北港鎮
住宅竊盜,1050707,南投縣埔里鎮
住宅竊盜,1050707,台北市大安區
住宅竊盜,1050708,新北市泰山區
住宅竊盜,1050708,新北市中和區
住宅竊盜,1050708,台南市新化區
住宅竊盜,1050708,基隆市安樂區
住宅竊盜,1050708,台南市中西區
住宅竊盜,1050708,基隆市信義區
住宅竊盜,1050709,彰化縣彰化市
住宅竊盜,1050709,新北市三重區
住宅竊盜,1050709,新北市三重區
住宅竊盜,1050709,苗栗縣通霄鎮
住宅竊盜,1050709,台北市大同區
住宅竊盜,1050710,新北市新莊區
住宅竊盜,1050710,台南市西港區
住宅竊盜,1050710,台北市松山區
住宅竊盜,1050710,台北市北投區
住宅竊盜,1050710,新北市瑞芳區
住宅竊盜,1050710,花蓮縣花蓮市
住宅竊盜,1050710,台南市白河區
住宅竊盜,1050710,台東縣台東市
住宅竊盜,1050710,宜蘭縣大同鄉
住宅竊盜,1050711,台中市豐原區
住宅竊盜,1050711,新北市新莊區
住宅竊盜,1050711,彰化縣二水鄉
住宅竊盜,1050711,新北市三重區
住宅竊盜,1050711,新北市新店區
住宅竊盜,1050711,台南市北區
住宅竊盜,1050711,新北市中和區
住宅竊盜,1050711,台南市仁德區
住宅竊盜,1050711,新北市土城區
住宅竊盜,1050711,台北市北投區
住宅竊盜,1050711,雲林縣北港鎮
住宅竊盜,1050711,基隆市仁愛區
住宅竊盜,1050711,雲林縣西螺鎮
住宅竊盜,1050712,台北市士林區
住宅竊盜,1050712,台中市西屯區
住宅竊盜,1050712,新竹市東區
住宅竊盜,1050712,台南市北區
住宅竊盜,1050712,台中市東區
住宅竊盜,1050712,苗栗縣苗栗市
住宅竊盜,1050712,南投縣埔里鎮
住宅竊盜,1050713,高雄市苓雅區
住宅竊盜,1050713,屏東縣潮州鎮
住宅竊盜,1050713,基隆市七堵區
住宅竊盜,1050713,台北市萬華區
住宅竊盜,1050713,台北市北投區
住宅竊盜,1050713,基隆市七堵區
住宅竊盜,1050713,台中市龍井區
住宅竊盜,1050713,台南市永康區
住宅竊盜,1050713,南投縣草屯鎮
住宅竊盜,1050714,高雄市左營區
住宅竊盜,1050714,台南市歸仁區
住宅竊盜,1050714,雲林縣西螺鎮
住宅竊盜,1050714,新竹市東區
住宅竊盜,1050714,台北市南港區
住宅竊盜,1050714,雲林縣北港鎮
住宅竊盜,1050714,台中市太平區
住宅竊盜,1050714,雲林縣元長鄉
住宅竊盜,1050714,南投縣埔里鎮
住宅竊盜,1050715,台南市下營區
住宅竊盜,1050715,新北市板橋區
住宅竊盜,1050715,台南市歸仁區
住宅竊盜,1050715,台北市松山區
住宅竊盜,1050715,新北市汐止區
住宅竊盜,1050715,新北市土城區
住宅竊盜,1050715,桃園市觀音區
住宅竊盜,1050715,新北市汐止區
住宅竊盜,1050715,雲林縣虎尾鎮
住宅竊盜,1050715,台南市永康區
住宅竊盜,1050716,高雄市鳳山區
住宅竊盜,1050716,苗栗縣大湖鄉
住宅竊盜,1050716,新北市新莊區
住宅竊盜,1050716,高雄市鳳山區
住宅竊盜,1050716,台北市文山區
住宅竊盜,1050716,屏東縣屏東市
住宅竊盜,1050716,台南市歸仁區
住宅竊盜,1050716,台北市大同區
住宅竊盜,1050716,桃園市中壢區
住宅竊盜,1050716,台南市安平區
住宅竊盜,1050716,嘉義市西區
住宅竊盜,1050716,台中市沙鹿區
住宅竊盜,1050717,新北市八里區
住宅竊盜,1050717,南投縣埔里鎮
住宅竊盜,1050717,雲林縣虎尾鎮
住宅竊盜,1050717,新竹縣湖口鄉
住宅竊盜,1050717,台北市中山區
住宅竊盜,1050718,台南市學甲區
住宅竊盜,1050718,彰化縣芳苑鄉
住宅竊盜,1050718,新竹市東區
住宅竊盜,1050718,台中市豐原區
住宅竊盜,1050718,台南市麻豆區
住宅竊盜,1050718,高雄市前鎮區
住宅竊盜,1050718,花蓮縣花蓮市
住宅竊盜,1050718,高雄市鳳山區
住宅竊盜,1050718,桃園市蘆竹區
住宅竊盜,1050719,新北市三重區
住宅竊盜,1050719,新竹縣湖口鄉
住宅竊盜,1050719,新北市新莊區
住宅竊盜,1050719,台東縣達仁鄉
住宅竊盜,1050719,台南市新營區
住宅竊盜,1050720,台南市官田區
住宅竊盜,1050720,新北市板橋區
住宅竊盜,1050720,新北市三重區
住宅竊盜,1050720,宜蘭縣五結鄉
住宅竊盜,1050720,台中市龍井區
住宅竊盜,1050720,雲林縣西螺鎮
住宅竊盜,1050720,台南市安平區
住宅竊盜,1050720,新北市板橋區
住宅竊盜,1050720,台北市中正區
住宅竊盜,1050720,新北市三重區
住宅竊盜,1050721,嘉義市東區
住宅竊盜,1050721,宜蘭縣五結鄉
住宅竊盜,1050721,台北市文山區
住宅竊盜,1050721,南投縣草屯鎮
住宅竊盜,1050721,新竹縣橫山鄉
住宅竊盜,1050722,新北市板橋區
住宅竊盜,1050722,嘉義縣水上鄉
住宅竊盜,1050722,新北市蘆洲區
住宅竊盜,1050722,彰化縣彰化市
住宅竊盜,1050722,台中市烏日區
住宅竊盜,1050722,台北市士林區
住宅竊盜,1050722,高雄市鳳山區
住宅竊盜,1050722,台北市中山區
住宅竊盜,1050722,台中市北區
住宅竊盜,1050722,宜蘭縣羅東鎮
住宅竊盜,1050722,新北市深坑區
住宅竊盜,1050722,基隆市七堵區
住宅竊盜,1050722,桃園市桃園區
住宅竊盜,1050722,桃園市龍潭區
住宅竊盜,1050722,台北市內湖區
住宅竊盜,1050722,宜蘭縣頭城鎮
住宅竊盜,1050722,基隆市中正區
住宅竊盜,1050723,新北市樹林區
住宅竊盜,1050723,苗栗縣竹南鎮
住宅竊盜,1050723,台中市北區
住宅竊盜,1050723,彰化縣二林鎮
住宅竊盜,1050723,桃園市龍潭區
住宅竊盜,1050723,嘉義市西區
住宅竊盜,1050724,台南市中西區
住宅竊盜,1050724,新北市新莊區
住宅竊盜,1050724,花蓮縣鳳林鎮
住宅竊盜,1050724,新北市新莊區
住宅竊盜,1050724,新北市土城區
住宅竊盜,1050724,台南市歸仁區
